evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202101031238A,2021,1,3,12,38,48,51.1,-179.75,27.9,6.1,0,2.8,8.689999999999999e+17,-7.46e+17,-1.2299999999999998e+17,1.23e+18,8.169999999999999e+17,-5.63e+17
C202101041216A,2021,1,4,12,16,14,-57.2,-26.41,138.4,5.07,0,0.8,2.07e+16,1.15e+16,-3.2199999999999996e+16,-1.82e+16,3.73e+16,-9999999999999998.0
C202101060620A,2021,1,6,6,20,32,-28.83,-177.04,46.4,6.26,0,3.3,2.77e+18,-1.1899999999999998e+17,-2.65e+18,2e+17,1.38e+18,-6.6e+17
C202101061652A,2021,1,6,16,52,17,-7.14,155.78,52.9,5.83,0,2.0,6.55e+17,-4.48e+17,-2.07e+17,-8.26e+16,-3.32e+16,4.01e+17
C202101061728A,2021,1,6,17,28,36,-4.54,102.46,60.4,5.63,0,1.6,2.82e+17,-1.7399999999999997e+17,-1.0799999999999998e+17,1.75e+17,-7.11e+16,1.62e+17
C202101062059A,2021,1,6,20,59,35,-0.05,123.01,166.7,6.19,0,3.0,1.6899999999999997e+18,-1.5499999999999997e+18,-1.33e+17,-1.6e+18,1.8999999999999996e+16,-7.28e+17
C202101080028A,2021,1,8,0,28,49,-29.41,-178.58,223.4,6.26,0,3.3,-2.55e+18,3000000000000000.0,2.55e+18,-7.68e+17,-1.2899999999999997e+18,8.26e+17
C202101080501A,2021,1,8,5,1,4,-20.78,169.81,130.6,6.09,0,2.7,-1.48e+18,2.0899999999999997e+17,1.27e+18,1.2999999999999998e+16,1.0499999999999999e+18,9.2e+16
C202101090139A,2021,1,9,1,39,39,-16.19,167.91,191.4,5.55,0,1.4,-3.65e+16,7.64e+16,-3.99e+16,-2.12e+17,-1.42e+17,4.53e+16
C202101100354A,2021,1,10,3,54,14,-24.04,-66.77,220.9,6.1,0,2.7,-1.39e+18,-7.8e+16,1.47e+18,3.1099999999999994e+17,-9.18e+17,4.71e+17
C202101100648A,2021,1,10,6,48,20,-16.09,167.78,167.8,6.08,0,2.7,2.87e+17,-2.3799999999999997e+17,-4.9e+16,-1.54e+18,-4.29e+17,4.9599999999999994e+17
C202101101544A,2021,1,10,15,44,48,-35.34,-105.93,13.0,5.55,0,1.5,-4.439999999999999e+16,-4.68e+16,9.12e+16,1.29e+16,-4.32e+16,-2.56e+17
C202101110120A,2021,1,11,1,20,38,-7.15,120.34,633.3,5.67,0,1.7,-3.02e+17,1.6599999999999997e+17,1.3599999999999998e+17,-1.6599999999999997e+17,-2.1599999999999997e+17,1.2399999999999998e+17
C202101110445A,2021,1,11,4,45,42,-63.19,171.02,12.0,5.31,0,1.1,1.1099999999999998e+16,9.8e+16,-1.09e+17,-2.5999999999999996e+16,-3.44e+16,-2.44e+16
C202101111247A,2021,1,11,12,47,1,38.83,-29.34,17.2,5.48,0,1.3,-2.79e+16,1.71e+17,-1.4299999999999998e+17,6400000000000000.0,1.66e+16,-1.32e+17
C202101111944A,2021,1,11,19,44,36,-58.08,-9.49,16.5,5.46,0,1.3,-1.37e+16,-4.149999999999999e+16,5.519999999999999e+16,7100000000000000.0,-6.53e+16,1.77e+17
C202101112132A,2021,1,11,21,32,59,51.31,100.39,14.3,6.8,0,6.1,-1.16e+19,-2.66e+18,1.4299999999999998e+19,8.979999999999999e+18,3.02e+18,1.16e+19
C202101120239A,2021,1,12,2,39,43,43.72,139.97,233.1,5.98,0,2.4,-6.919999999999999e+17,4.4e+17,2.5099999999999997e+17,-8.12e+17,0.0,-5.79e+17
C202101121817A,2021,1,12,18,17,32,-2.8,136.86,41.6,5.98,0,2.4,7.19e+17,-8.24e+17,1.05e+17,-8.61e+17,-5.6e+16,-1.13e+17
C202101140635A,2021,1,14,6,35,50,-2.83,118.87,20.5,5.66,0,1.7,2.8599999999999997e+17,2.68e+16,-3.13e+17,-1.42e+17,-2.07e+17,-5.73e+16
C202101141828A,2021,1,14,18,28,18,-2.82,118.87,17.7,6.29,0,3.4,1.61e+18,1.78e+17,-1.78e+18,-2.26e+17,-2.97e+18,4.5299999999999994e+17
C202101151045A,2021,1,15,10,45,21,-37.18,-17.24,12.0,5.45,0,1.3,-1.82e+17,7100000000000000.0,1.75e+17,2.82e+16,1.53e+16,-5.85e+16
C202101151610A,2021,1,15,16,10,51,13.87,-92.38,20.7,5.84,0,2.0,5.18e+17,-3.8e+17,-1.3799999999999998e+17,3.2699999999999994e+17,-3.6199999999999994e+17,2.36e+17
C202101152131A,2021,1,15,21,31,4,26.7,55.23,12.0,5.42,0,1.3,1.57e+17,-1.7e+17,1.2999999999999998e+16,3500000000000000.0,-3.68e+16,3.65e+16
C202101162002A,2021,1,16,20,2,45,36.46,70.64,210.4,5.57,0,1.5,1.9e+17,-1.46e+17,-4.45e+16,1.56e+17,-1.5999999999999997e+17,6.549999999999999e+16
C202101190246A,2021,1,19,2,46,22,-31.85,-68.86,25.0,6.49,0,4.3,2.3199999999999995e+18,4.86e+18,-7.18e+18,-2.21e+18,1.7199999999999997e+18,-3.09e+17
B202101201600A,2021,1,20,16,0,40,49.74,147.66,586.3,5.6,0,1.5,2e+17,6.509999999999999e+16,-2.6499999999999997e+17,-1.71e+17,-5.32e+16,-9.18e+16
C202101202259A,2021,1,20,22,59,12,-14.94,-75.62,28.3,5.49,0,1.4,1.2e+17,1.05e+16,-1.3099999999999998e+17,1500000000000000.0,-1.7399999999999997e+17,4.22e+16
C202101211223A,2021,1,21,12,23,5,5.05,127.33,104.4,6.98,0,7.6,3.1e+19,-2.0499999999999997e+18,-2.9e+19,-7.43e+18,-2.13e+19,2.8299999999999995e+18
C202101221623A,2021,1,22,16,23,42,-33.3,-179.11,52.2,5.6,0,1.5,2.8999999999999994e+17,2099999999999999.8,-2.92e+17,-1.25e+16,1.03e+17,-7.98e+16
C202101230319A,2021,1,23,3,19,51,-6.54,147.69,29.4,5.89,0,2.2,7.379999999999999e+17,-6.97e+17,-4.1e+16,3.7e+17,-8.1e+16,2.96e+17
B202101231147A,2021,1,23,11,47,33,-24.43,-179.49,484.0,5.59,0,1.5,1.02e+17,8.92e+16,-1.91e+17,8.879999999999998e+16,-1.98e+17,-1.27e+17
C202101231658A,2021,1,23,16,58,52,-6.47,147.68,35.9,5.65,0,1.6,3.16e+17,-3.07e+17,-8499999999999999.0,1.4399999999999998e+17,-8.33e+16,1.41e+17
C202101232336A,2021,1,23,23,36,50,-61.88,-55.35,12.0,6.91,0,7.0,-2.32e+19,6.16e+18,1.7e+19,7.279999999999999e+18,-2.51e+18,2.03e+19
C202101240547A,2021,1,24,5,47,53,-51.15,161.67,12.0,5.75,0,1.8,4.43e+17,1000000000000000.0,-4.44e+17,-1.39e+17,-3.35e+16,-2.66e+17
C202101241214A,2021,1,24,12,14,45,-61.78,-55.16,12.0,5.45,0,1.3,-7.41e+16,-5.82e+16,1.32e+17,6.19e+16,-4.17e+16,1.3099999999999998e+17
C202101291241A,2021,1,29,12,41,39,8.09,-82.92,12.0,5.65,0,1.6,3.26e+17,-2.11e+17,-1.1499999999999998e+17,9.92e+16,-5.079999999999999e+16,2.33e+17
C202101291314A,2021,1,29,13,14,44,8.12,-82.92,12.0,5.51,0,1.4,2e+17,-1.2199999999999998e+17,-7.829999999999998e+16,4.759999999999999e+16,-1.1099999999999998e+16,1.4499999999999997e+17
C202101291947A,2021,1,29,19,47,55,-13.84,121.82,22.5,5.68,0,1.7,5300000000000000.0,4.06e+17,-4.1099999999999994e+17,4.49e+16,3.53e+16,-8.03e+16
C202101311905A,2021,1,31,19,5,15,2.73,-59.47,12.0,5.6,0,1.5,3.21e+17,-1.91e+17,-1.2999999999999998e+17,7.51e+16,3.1899999999999996e+16,1.2899999999999998e+17
C202102022049A,2021,2,2,20,49,27,-16.28,177.93,12.0,5.71,0,1.7,-3.4099999999999994e+17,-7.43e+16,4.1599999999999994e+17,-7.05e+16,1.16e+17,2.39e+17
C202102022358A,2021,2,2,23,58,34,-22.88,171.79,19.0,5.78,0,1.9,5.09e+17,-5.4799999999999994e+17,3.95e+16,2.6699999999999997e+17,-2.26e+16,3.78e+16
C202102030005A,2021,2,3,0,5,33,-22.95,171.78,21.9,5.55,0,1.4,2.5499999999999997e+17,-2.43e+17,-1.26e+16,8.119999999999998e+16,1.6799999999999998e+16,2.05e+16
C202102030042A,2021,2,3,0,42,17,-22.91,171.76,13.6,5.57,0,1.5,2.43e+17,-2.71e+17,2.82e+16,1.12e+17,-1.7699999999999998e+16,2.66e+16
C202102030523A,2021,2,3,5,23,44,-36.38,-98.63,18.1,6.59,0,4.8,-1.09e+18,-7.41e+17,1.8299999999999997e+18,1.1499999999999999e+18,-2.4e+18,-9.25e+18
C202102040814A,2021,2,4,8,14,3,21.52,121.85,19.2,5.5,0,1.4,-3.29e+16,1.89e+17,-1.56e+17,5.97e+16,3.04e+16,-1.21e+17
C202102041214A,2021,2,4,12,14,27,-22.86,171.84,20.7,5.73,0,1.8,4.13e+17,-4.27e+17,1.39e+16,2.49e+17,-2.08e+16,4600000000000000.0
